cl objID RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag ingalaxy
3 1237655504034727177 256.645443 0.119 35.436613 0.121 23.803 0.687 24.324 0.540 22.812 0.227 21.705 0.136 20.825 0.227 nan
3 1237655504034727009 256.645613 0.165 35.432252 0.120 23.892 0.730 23.283 0.254 22.109 0.126 21.782 0.147 21.068 0.283 nan
6 1237655504034726642 256.647568 0.044 35.435241 0.044 24.031 0.612 22.976 0.161 21.790 0.076 20.238 0.032 19.458 0.057 nan
3 1237655504034660604 256.647964 0.059 35.468253 0.060 20.664 0.219 19.228 0.043 18.590 0.023 18.315 0.028 18.511 0.115 nan
6 1237655504034661874 256.648577 0.109 35.455552 0.095 23.604 0.485 23.969 0.340 22.562 0.143 22.335 0.179 22.003 0.420 nan
6 1237655504034660607 256.649963 0.182 35.467003 0.196 24.305 0.701 25.455 0.525 23.830 0.415 22.749 0.264 22.563 0.547 nan
6 1237655504034725910 256.650504 0.057 35.442679 0.057 16.180 0.007 15.402 0.005 14.195 0.002 14.679 0.006 14.158 0.005 nan
3 1237655504034660606 256.650550 0.225 35.470966 0.195 25.005 0.707 23.866 0.339 22.735 0.183 23.148 0.383 22.361 0.545 nan
3 1237655504034661632 256.650804 0.216 35.460914 0.159 23.383 0.464 23.086 0.190 23.479 0.341 23.601 0.530 22.323 0.560 nan
3 1237655504034727022 256.650875 0.102 35.417119 0.111 23.328 0.602 22.831 0.205 21.915 0.124 21.553 0.142 21.360 0.421 nan
6 1237655504034661852 256.651101 0.127 35.477612 0.113 24.326 0.647 23.734 0.275 22.938 0.191 22.429 0.189 21.649 0.322 nan
3 1237655504034726648 256.651297 0.083 35.435344 0.086 24.899 0.830 22.705 0.151 21.866 0.098 21.594 0.120 21.584 0.406 nan
3 1237655504034725911 256.651577 0.020 35.439254 0.018 21.418 0.113 20.467 0.026 19.766 0.019 19.428 0.022 19.209 0.060 nan
6 1237655504034725894 256.651648 0.001 35.451001 0.001 16.940 0.007 15.316 0.003 14.778 0.004 14.613 0.004 14.552 0.004 nan
6 1237655504034660603 256.651991 0.009 35.472606 0.009 23.542 0.457 21.174 0.037 19.812 0.017 18.915 0.013 18.412 0.025 nan
6 1237655504034660602 256.652982 0.003 35.472343 0.003 19.242 0.022 18.156 0.006 17.781 0.006 17.650 0.007 17.614 0.015 nan
3 1237655504034726682 256.653699 0.177 35.423538 0.151 22.471 0.248 22.627 0.142 22.317 0.146 22.137 0.195 21.255 0.318 nan
6 1237655504034727031 256.653826 0.110 35.408924 0.104 24.478 0.678 23.758 0.297 22.688 0.161 21.544 0.090 20.536 0.139 nan
6 1237655504034727271 256.653874 0.106 35.404489 0.112 24.892 0.640 24.559 0.473 24.816 0.528 24.587 0.522 20.870 0.178 nan
6 1237655504034726684 256.654188 0.080 35.421489 0.071 23.382 0.438 22.594 0.120 22.165 0.108 21.850 0.125 21.996 0.447 nan
6 1237655504034726676 256.654631 0.099 35.426558 0.093 24.066 0.592 22.969 0.154 22.614 0.146 21.928 0.121 21.368 0.264 nan
3 1237655504034660875 256.654765 0.008 35.483093 0.008 21.549 0.161 19.452 0.015 18.281 0.008 17.785 0.008 17.400 0.017 nan
3 1237655504034726997 256.654859 0.140 35.445868 0.153 23.561 1.604 22.237 0.264 20.912 0.114 20.740 0.158 20.515 0.471 nan
3 1237655504034661975 256.655012 0.137 35.470631 0.165 24.157 0.827 25.456 0.652 23.533 0.413 22.057 0.189 20.882 0.240 nan
6 1237655504034725930 256.655068 0.002 35.431874 0.002 20.582 0.050 18.257 0.007 17.247 0.005 16.888 0.005 16.702 0.009 nan
3 1237655504034726672 256.655367 0.083 35.429211 0.084 24.842 0.885 22.588 0.144 21.855 0.102 21.604 0.127 21.017 0.271 nan
3 1237655504034727170 256.655757 0.134 35.451885 0.134 22.724 0.837 22.020 0.219 21.855 0.268 20.533 0.133 20.838 0.638 nan
